name,height,reach,stance,dob,url,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,num_fights
Randy Brown,"6' 3""","78""",Orthodox,08-Jul-90,http://ufcstats.com/fighter-details/c6aee362c7a7d482,4.38,47,3.2,54,0.72,39,70,0.6,0
Elizeu Zaleski dos Santos,"5' 11""","73""",Orthodox,11-Dec-86,http://ufcstats.com/fighter-details/8adcbd525fab8d9b,4.3,42,3.42,56,0.71,20,68,0.5,0
Roman Kopylov,"6' 0""","75""",Southpaw,04-May-91,http://ufcstats.com/fighter-details/9d83f6da776ff7d6,4.33,54,4.06,58,1.2,53,87,0,0
Cesar Almeida,"6' 1""","74""",Orthodox,28-Mar-88,http://ufcstats.com/fighter-details/64d47ef881a437a4,4.25,61,1.88,46,0,0,56,0,0
Jailton Almeida,"6' 3""","79""",Orthodox,26-Jun-91,http://ufcstats.com/fighter-details/41e83a89929d1327,2.46,64,0.72,40,6.85,59,75,2.6,0
Alexandr Romanov,"6' 2""","75""",Southpaw,11-Dec-90,http://ufcstats.com/fighter-details/c0badf3243907e59,3.94,52,2.14,50,4.17,54,28,0.8,0
Grant Dawson,"5' 10""","72""",Switch,20-Feb-94,http://ufcstats.com/fighter-details/99bd51917728c25d,2.98,52,2.11,45,3.61,38,57,1.3,0
Joe Solecki,"5' 9""","70""",Orthodox,27-Aug-93,http://ufcstats.com/fighter-details/af65aa688d13eedf,1.98,56,1.77,48,2.23,46,20,1.4,0
Jake Matthews,"5' 11""","73""",Orthodox,19-Aug-94,http://ufcstats.com/fighter-details/a845f0735bc67405,3.38,44,2.54,61,1.56,41,64,0.6,0
Phil Rowe,"6' 3""","80""",Orthodox,18-Jul-90,http://ufcstats.com/fighter-details/8e382b585a92affe,3.65,49,4.34,55,0.7,36,56,0.3,0
Bassil Hafez,"5' 11""","72""",Orthodox,31-Jan-92,http://ufcstats.com/fighter-details/f4d92416da98804b,4.23,39,5.53,40,3,24,50,0,0
Mickey Gall,"6' 2""","74""",Switch,22-Jan-92,http://ufcstats.com/fighter-details/9e50097a89442158,3.33,48,4.55,49,1.18,32,37,1.6,0
Ailin Perez,"5' 5""","66""",Switch,05-Oct-94,http://ufcstats.com/fighter-details/06e4245d16fc5315,2.91,58,1.35,57,5.19,51,75,0,0
Joselyne Edwards,"5' 8""","70""",Orthodox,29-Sep-95,http://ufcstats.com/fighter-details/f9ab66e67240db7b,4.35,51,3.29,49,0.88,33,60,0.4,0
Andre Lima,"5' 7""","67""",Orthodox,04-Feb-99,http://ufcstats.com/fighter-details/b1f21ce050035d58,3.75,56,2.46,59,0.79,50,60,0.8,0
Mitch Raposo,"5' 5""","64""",Switch,16-Oct-98,http://ufcstats.com/fighter-details/0be6776db31d98ec,2.29,33,3.32,51,1.94,60,50,0,0
Lerone Murphy,"5' 9""","73""",Orthodox,22-Jul-91,http://ufcstats.com/fighter-details/396fe87b84ac2e1c,5.01,54,2.6,60,1.59,52,46,0.6,0
Edson Barboza,"5' 11""","75""",Orthodox,21-Jan-86,http://ufcstats.com/fighter-details/64a50dad704d1d49,4.11,44,4.65,56,0.45,50,72,0.1,0
Khaos Williams,"6' 0""","77""",Orthodox,30-Mar-94,http://ufcstats.com/fighter-details/2558ae2e5671e318,5.81,39,5.42,42,0,0,80,0,0
Carlston Harris,"6' 0""","76""",Orthodox,09-Jul-87,http://ufcstats.com/fighter-details/a53d30163304aa6e,3.18,49,2.66,52,1.97,29,55,0.8,0
Themba Gorimbo,"6' 1""","77""",Orthodox,23-Jan-91,http://ufcstats.com/fighter-details/40f3cb27fc7305a1,2.53,69,1.08,46,4.04,58,78,0,0
Ramiz Brahimaj,"5' 10""","72""",Orthodox,17-Nov-92,http://ufcstats.com/fighter-details/3d074044a33825e7,1.74,41,3.69,45,1.61,35,44,1.6,0
Adrian Yanez,"5' 7""","70""",Orthodox,29-Nov-93,http://ufcstats.com/fighter-details/0232cabbc30a2372,6.51,41,5.75,57,0,0,100,0,0
Vinicius Salvador,"5' 7""","70""",Southpaw,24-Jul-96,http://ufcstats.com/fighter-details/65cdf4ec31143d86,5.48,43,6.5,48,0.36,11,86,0,0
Angela Hill,"5' 3""","64""",Orthodox,12-Jan-85,http://ufcstats.com/fighter-details/f0feeb2192937424,5.38,49,4.86,61,0.8,33,76,0.1,0
Luana Pinheiro,"5' 2""","62""",Orthodox,18-Nov-92,http://ufcstats.com/fighter-details/a3a542074109b347,3.57,40,4.17,63,2.24,33,66,0.2,0
Tom Nolan,"6' 3""","73""",Southpaw,08-Mar-00,http://ufcstats.com/fighter-details/6c3b2525436cf5d4,9.26,53,6.54,41,0,0,100,0,0
Victor Martinez,"5' 8""","70""",Orthodox,17-Jul-91,http://ufcstats.com/fighter-details/3e708ce33b6b18e6,7.94,51,7.66,53,0.7,33,80,0,0
Oumar Sy,"6' 4""","83""",Orthodox,21-Nov-95,http://ufcstats.com/fighter-details/46e2011d92463b7e,0,0,0.81,25,8.07,66,0,4,0
Tuco Tokkos,"6' 4""","76""",Orthodox,30-Jun-90,http://ufcstats.com/fighter-details/3e8118c1ab52f211,3.26,43,4.57,45,1.96,100,33,0,0
Melissa Gatto,"5' 5""","69""",Orthodox,02-May-96,http://ufcstats.com/fighter-details/a4a80dd7336ffd59,3.78,49,2.84,54,1.47,28,63,0.5,0
Tamires Vidal,"5' 6""","68""",Orthodox,27-Jul-98,http://ufcstats.com/fighter-details/4f3064faf17aa711,3.2,55,3.9,54,0,0,28,1,0
Abus Magomedov,"6' 2""","78""",Orthodox,02-Sep-90,http://ufcstats.com/fighter-details/36b8f265bcd1b7a4,2.88,44,3.73,55,2.65,77,100,0,0
Warlley Alves,"5' 11""","72""",Orthodox,04-Jan-91,http://ufcstats.com/fighter-details/d317a5e2b3f88c5f,3.04,48,3.95,50,1.22,50,62,0.8,0
Ariane Carnelossi,"5' 2""","61""",Orthodox,17-Nov-92,http://ufcstats.com/fighter-details/c0d5c0c95c59050b,2.87,39,4.74,45,1.37,55,14,0.3,0
Piera Rodriguez,"5' 3""","63""",Orthodox,11-Nov-92,http://ufcstats.com/fighter-details/e375cb5caf4717b6,3.64,47,2.84,58,3.11,41,66,0,0
Alatengheili,"5' 5""","66""",Orthodox,14-Dec-91,http://ufcstats.com/fighter-details/1897b7b913736a7c,2.64,32,4.67,57,1.99,45,75,0,0
Kleydson Rodrigues,"5' 5""","67""",Orthodox,22-Oct-95,http://ufcstats.com/fighter-details/102a8fdf8cbf7467,4.58,57,2.29,53,0.6,22,53,0.6,0
Vanessa Demopoulos,"5' 2""","59""",Orthodox,22-Sep-88,http://ufcstats.com/fighter-details/2c483cf443f38ece,3.98,41,5.69,41,0.42,11,30,0.6,0
Emily Ducote,"5' 2""","63""",Orthodox,01-Jan-94,http://ufcstats.com/fighter-details/02f8fedc18cbd26c,7.45,52,7.84,57,0.2,14,94,0,0
Derrick Lewis,"6' 3""","79""",Orthodox,07-Feb-85,http://ufcstats.com/fighter-details/d3df1add9d9a7efb,2.48,50,2.48,40,0.57,26,52,0,0
Rodrigo Nascimento,"6' 2""","80""",Orthodox,26-Nov-92,http://ufcstats.com/fighter-details/d31a5546c0e9b213,4.05,49,4.62,43,1.23,37,76,0.6,0
Joaquin Buckley,"5' 10""","76""",Southpaw,27-Apr-94,http://ufcstats.com/fighter-details/b9437600497350f3,4.25,36,3.12,58,1.69,44,69,0,0
Nursulton Ruziboev,"6' 5""","76""",Orthodox,19-Nov-93,http://ufcstats.com/fighter-details/49d2a08964c5eb11,2.5,43,4.6,49,0.77,100,0,0,0
Carlos Ulberg,"6' 4""","77""",Orthodox,07-Nov-90,http://ufcstats.com/fighter-details/9014c02eff8b3d62,7.41,59,3.6,52,0.95,75,75,0.3,0
Alonzo Menifield,"6' 0""","76""",Orthodox,18-Oct-87,http://ufcstats.com/fighter-details/a495f599e787614f,3.92,57,3.57,49,0.67,33,75,0.3,0
Diego Ferreira,"5' 9""","74""",Orthodox,18-Jan-85,http://ufcstats.com/fighter-details/f53d4f21d1b5f2dc,5.04,39,3.43,56,0.96,30,60,0.6,0
Mateusz Rebecki,"5' 7""","66""",Southpaw,03-Nov-92,http://ufcstats.com/fighter-details/849c5d9979df5357,4.69,48,4.15,54,4.12,75,33,1,0
Sean Woodson,"6' 2""","78""",Orthodox,07-Jun-92,http://ufcstats.com/fighter-details/4682bc59d5f55145,5.58,46,4.19,58,0.66,62,84,0.4,0
Alex Caceres,"5' 10""","73""",Southpaw,20-Jun-88,http://ufcstats.com/fighter-details/7aa3d6964eff4877,4.21,49,3.09,62,0.54,68,64,0.7,0
