name,height,reach,stance,dob,url,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,num_fights
Jeka Saragih,"5' 8""","69""",Orthodox,01-Jan-95,http://ufcstats.com/fighter-details/57186c150c645200,2.76,50,2.84,40,2.37,100,66,0.6,0
Lucas Alexander,"5' 11""","73""",Orthodox,28-Jul-95,http://ufcstats.com/fighter-details/11583163f45c7b31,5.23,55,1.83,71,0,0,57,0,0
Lucie Pudilova,"5' 8""","67""",Orthodox,13-Jun-94,http://ufcstats.com/fighter-details/3cf66c62d9069f43,3.68,37,3.83,51,0.55,27,66,0.7,0
Rafael Estevam,"5' 8""","69""",Orthodox,10-Aug-96,http://ufcstats.com/fighter-details/83455a9d17f57dae,2.94,64,3.35,34,3.35,19,0,0.7,0
Tom Aspinall,"6' 5""","78""",Orthodox,11-Apr-93,http://ufcstats.com/fighter-details/399afbabc02376b5,7.72,66,2.77,66,3.46,100,100,1.7,0
Sergei Pavlovich,"6' 3""","84""",Southpaw,13-May-92,http://ufcstats.com/fighter-details/f14cf73e51b29254,8.21,48,4.61,55,0,0,75,0,0
Matt Frevola,"5' 9""","71""",Orthodox,11-Jun-90,http://ufcstats.com/fighter-details/dccb63727f2f5f74,3.71,42,3.57,59,2.59,40,42,0.9,0
Pat Sabatini,"5' 8""","70""",Orthodox,09-Nov-90,http://ufcstats.com/fighter-details/b8bbdeff718dbb7d,2.02,59,1.54,49,3.73,42,50,1.9,0
Roosevelt Roberts,"6' 2""","73""",Orthodox,11-Feb-94,http://ufcstats.com/fighter-details/37c5366d18ed6c05,3.05,44,3.12,52,1.39,29,52,0.9,0
Nazim Sadykhov,"5' 10""","69""",Southpaw,16-May-94,http://ufcstats.com/fighter-details/ff62013d2fce6d13,4.94,48,5.72,48,1.71,62,75,0.3,0
Jared Gordon,"5' 9""","68""",Orthodox,06-Sep-88,http://ufcstats.com/fighter-details/7026eca45f65377b,5.39,57,3.4,57,1.95,40,62,0,0
Mark Madsen,"5' 8""","72""",Orthodox,23-Sep-84,http://ufcstats.com/fighter-details/da0995f19b749cfa,3.56,49,3.97,52,2.86,66,62,0,0
Kyung Ho Kang,"5' 9""","73""",Orthodox,09-Sep-87,http://ufcstats.com/fighter-details/a7897d200692ab64,3.35,48,3.33,55,1.87,57,68,0.8,0
Nicolas Dalby,"5' 11""","74""",Orthodox,16-Nov-84,http://ufcstats.com/fighter-details/9d19d9e4aa2662e8,4.03,43,3.43,52,1.11,30,60,0.1,0
Gabriel Bonfim,"6' 1""","72""",Orthodox,20-Aug-97,http://ufcstats.com/fighter-details/01641ba5df0c69b0,4.87,40,5.25,59,4.75,71,100,3.8,0
Kaynan Kruschewsky,"6' 0""","73""",Orthodox,04-Apr-91,http://ufcstats.com/fighter-details/ca36633b80be4a78,5.08,39,4.79,47,2.18,100,0,2.2,0
Rinat Fakhretdinov,"6' 0""","74""",Orthodox,28-Sep-91,http://ufcstats.com/fighter-details/8f765fd5775a8873,4.05,56,2.16,52,4.25,46,100,0.3,0
Modestas Bukauskas,"6' 3""","78""",Switch,10-Feb-94,http://ufcstats.com/fighter-details/476fe566d2df676e,3.28,41,3.87,50,0,0,71,0,0
Montserrat Conejo Ruiz,"5' 0""","61""",Southpaw,03-Feb-93,http://ufcstats.com/fighter-details/1235b31de15d0c6e,0.79,27,4.96,37,2.05,83,33,0.8,0
Marc Diakiese,"5' 10""","73""",Orthodox,16-Mar-93,http://ufcstats.com/fighter-details/32c355b04fc57f3a,2.54,40,2.64,52,3.29,43,66,0,0
Kaue Fernandes,"5' 9""","73""",Orthodox,17-Mar-95,http://ufcstats.com/fighter-details/ec13c393d029297d,1.53,54,0.87,59,1,100,62,0,0
Khamzat Chimaev,"6' 2""","75""",Orthodox,01-May-94,http://ufcstats.com/fighter-details/767755fd74662dbf,5.72,58,3.46,42,3.99,46,100,2.7,0
Kamaru Usman,"6' 0""","76""",Switch,11-May-87,http://ufcstats.com/fighter-details/f1b2aa7853d1ed6e,4.36,52,2.74,54,2.82,45,89,0.1,0
Ikram Aliskerov,"6' 0""","76""",Southpaw,07-Dec-92,http://ufcstats.com/fighter-details/b07aed698fba8624,8.24,65,7.15,36,2.33,33,0,2.3,0
Said Nurmagomedov,"5' 8""","70""",Orthodox,05-Apr-92,http://ufcstats.com/fighter-details/0fd5f4b838e890cc,3.55,47,2.13,57,1.01,16,66,1.4,0
Muin Gafurov,"5' 7""","68""",Southpaw,17-May-96,http://ufcstats.com/fighter-details/a54660deb6a8489c,2.98,41,2.95,48,2.4,26,62,0,0
Mohammad Yahya,"5' 9""","73""",Switch,23-May-94,http://ufcstats.com/fighter-details/3753714927f18437,2.87,46,4.07,37,1,100,42,1,0
Abu Azaitar,"5' 9""","76""",Orthodox,10-Mar-86,http://ufcstats.com/fighter-details/46d0a888d87d91ac,4.38,43,4.32,51,1,37,42,0,0
Mike Breeden,"5' 10""","70""",Orthodox,21-Apr-89,http://ufcstats.com/fighter-details/d80ee110748171ac,5.75,45,7.28,42,0.98,30,67,0,0
Anshul Jubli,"6' 0""","69""",Switch,13-Jan-95,http://ufcstats.com/fighter-details/a72a2a769fa5a2be,6.48,46,5.61,51,0.82,18,63,0.4,0
Nathaniel Wood,"5' 6""","69""",Orthodox,08-May-93,http://ufcstats.com/fighter-details/329e403448756217,5.91,50,4.22,56,1.74,48,70,0.5,0
Viktoriia Dudakova,"5' 5""","67""",Orthodox,26-Jan-99,http://ufcstats.com/fighter-details/6c9b66b43663f2f7,3.14,52,2.45,50,2.45,41,50,0,0
Jinh Yu Frey,"5' 3""","65""",Southpaw,20-May-85,http://ufcstats.com/fighter-details/d05cb1e8d1b885d8,2.97,43,4.23,52,1.02,36,90,0.3,0
Shara Magomedov,"6' 2""","73""",Orthodox,16-May-94,http://ufcstats.com/fighter-details/06734ca9d88dec3a,7.53,73,4.33,28,0,0,57,0,0
Jennifer Maia,"5' 4""","64""",Orthodox,06-Oct-88,http://ufcstats.com/fighter-details/8e1f36476ef02a6a,4.35,38,4.52,55,0.42,27,58,0.1,0
Darren Elkins,"5' 10""","71""",Orthodox,16-May-84,http://ufcstats.com/fighter-details/92a9aa9c93192871,3.44,38,3.27,52,2.85,35,56,1.1,0
TJ Brown,"5' 9""","72""",Switch,22-May-90,http://ufcstats.com/fighter-details/d31cbcdd7d69536d,3.37,44,2.89,49,3.41,57,36,1.3,0
Tainara Lisboa,"5' 7""","67""",Orthodox,02-Mar-91,http://ufcstats.com/fighter-details/2c5f5749569eef66,2.05,50,1.4,54,2.05,40,70,0.5,0
Ravena Oliveira,"5' 5""","65""",Orthodox,20-Feb-97,http://ufcstats.com/fighter-details/4948e412fa6ab67d,1,48,1.2,48,2,66,62,0,0
Brendon Marotte,"5' 9""","70""",Orthodox,12-Jan-96,http://ufcstats.com/fighter-details/d7fe8c6b7d2872e5,3,100,42,33,0,0,0,0,0
Irina Alekseeva,"5' 8""","67""",Orthodox,27-Jun-90,http://ufcstats.com/fighter-details/103e2e33a60683e1,3.84,43,3.55,48,0.87,20,100,0.9,0
Ashley Yoder,"5' 7""","69""",Southpaw,20-Oct-87,http://ufcstats.com/fighter-details/b4c6c904a9ffc5e8,3.42,39,4.13,47,1.09,27,66,0.6,0
Abdul Razak Alhassan,"5' 10""","73""",Orthodox,11-Aug-85,http://ufcstats.com/fighter-details/eae431e70064e046,3.37,48,3.99,55,0.89,38,50,0.2,0
Ricky Glenn,"6' 0""","70""",Southpaw,12-Apr-89,http://ufcstats.com/fighter-details/814ff3018127e8fc,3.94,43,4.1,51,0.55,13,68,0.4,0
Nate Maness,"5' 10""","72""",Orthodox,27-Jun-91,http://ufcstats.com/fighter-details/6e9f40c706f91f32,2.33,48,4.29,40,0.87,75,78,0.3,0
Kanako Murata,"5' 1""","62""",Orthodox,10-Aug-93,http://ufcstats.com/fighter-details/e0b0cf71e0d69dd0,2.15,56,2.4,53,3.38,56,100,0.8,0
Johnny Munoz,"5' 9""","71""",Orthodox,16-Feb-93,http://ufcstats.com/fighter-details/f6bcbd91b114ff58,2.44,36,2.66,55,2.4,25,45,1.8,0
Rafael Fiziev,"5' 8""","71""",Switch,05-Mar-93,http://ufcstats.com/fighter-details/c814b4c899793af6,4.9,51,4.97,49,0.29,40,89,0,0
Michelle Waterson-Gomez,"5' 3""","62""",Orthodox,06-Jan-86,http://ufcstats.com/fighter-details/eb04b9d31e938edb,3.56,46,4.19,49,1.42,32,70,0.7,0
AJ Fletcher,"5' 10""","67""",Switch,18-Feb-97,http://ufcstats.com/fighter-details/725b1abc9a39d873,3.36,49,4.61,46,1.54,35,33,0.9,0
Andre Fialho,"6' 0""","74""",Orthodox,07-Apr-94,http://ufcstats.com/fighter-details/33efaf2d0941cfcf,3.3,41,6.26,45,0.25,100,66,0,0
Jake Collier,"6' 3""","78""",Orthodox,25-Oct-88,http://ufcstats.com/fighter-details/92fa1401b7927da3,5.8,44,5.08,50,0.71,33,67,0.6,0
Mizuki,"5' 3""","65""",Orthodox,19-Aug-94,http://ufcstats.com/fighter-details/43a59ce3bb40449e,4.56,50,5.62,48,0.33,14,85,0,0
Hannah Goldy,"5' 4""","61""",Orthodox,18-May-92,http://ufcstats.com/fighter-details/26e3f3928b1891d9,5.19,47,4.67,50,0.66,12,54,0.2,0
Alexa Grasso,"5' 5""","66""",Orthodox,09-Aug-93,http://ufcstats.com/fighter-details/e8b731feff72294b,4.67,43,3.95,58,0.41,45,59,0.6,0
Valentina Shevchenko,"5' 5""","66""",Southpaw,07-Mar-88,http://ufcstats.com/fighter-details/132deb59abae64b1,3.28,52,2.11,62,2.56,63,71,0.4,0
Terrence Mitchell,"5' 10""","74""",Orthodox,30-Dec-89,http://ufcstats.com/fighter-details/f3ca6908f78efebe,2.21,34,8.85,41,3.69,50,0,0,0
Elise Reed,"5' 3""","63""",Orthodox,05-Dec-92,http://ufcstats.com/fighter-details/ac7c765882f2c68c,2.66,49,3.06,52,0.58,60,42,0,0
Josh Fremd,"6' 4""","76""",Orthodox,15-Jan-94,http://ufcstats.com/fighter-details/ca43de99b07b6b40,2.93,43,2.63,47,0.84,25,31,1.4,0
Tracy Cortez,"5' 5""","65""",Orthodox,10-Dec-93,http://ufcstats.com/fighter-details/68d4a891e5cf2029,4.11,53,2.79,60,2.33,46,75,0.3,0
Alex Reyes,"5' 11""","73""",Orthodox,02-Oct-86,http://ufcstats.com/fighter-details/dc07493a87dc0a6e,4.04,39,10.91,40,0,0,0,0,0
Josefine Knutsson,"5' 3""","60""",Orthodox,16-Jan-96,http://ufcstats.com/fighter-details/971dba22c622af12,3.73,52,1.33,64,2.67,72,100,0,0
Israel Adesanya,"6' 4""","80""",Switch,22-Jul-89,http://ufcstats.com/fighter-details/1338e2c7480bdf9e,3.93,48,3.11,56,0.05,14,77,0.1,0
Alexander Volkov,"6' 7""","80""",Orthodox,24-Oct-88,http://ufcstats.com/fighter-details/279566840aa55bf2,5.1,57,3,54,0.49,63,73,0.2,0
Manel Kape,"5' 5""","68""",Southpaw,14-Nov-93,http://ufcstats.com/fighter-details/5d1b7e3dd9e11074,5.12,54,4.51,59,0.65,37,77,0.4,0
Da Woon Jung,"6' 4""","78""",Orthodox,07-Dec-93,http://ufcstats.com/fighter-details/74f9448b97bf8bec,3.49,43,3.89,51,1.9,50,77,0.2,0
Jack Jenkins,"5' 7""","68""",Switch,03-Nov-93,http://ufcstats.com/fighter-details/a9da3158dd2c2b5a,4.43,61,3.07,59,2.56,69,75,0,0
John Makdessi,"5' 8""","68""",Orthodox,03-May-85,http://ufcstats.com/fighter-details/c21a036b4e012f1c,5.52,49,4.15,68,0,0,86,0,0
Blood Diamond,"5' 11""","76""",Switch,10-Jul-88,http://ufcstats.com/fighter-details/9edf2c9082cc2cd8,3.12,55,2.17,48,0,0,73,0,0
Gabriel Miranda,"5' 11""","71""",Orthodox,25-Mar-90,http://ufcstats.com/fighter-details/b909a9a9688b5284,3.52,51,6.88,39,4.8,40,0,2.4,0
Shane Young,"5' 8""","72""",Orthodox,31-Jul-93,http://ufcstats.com/fighter-details/4cd8b03aee1d0138,5.19,40,5.46,52,0.63,18,64,0,0
Kiefer Crosbie,"5' 11""","70""",Switch,05-Apr-90,http://ufcstats.com/fighter-details/4729c93ba705a3bf,8.1,66,6.02,50,0,0,0,0,0
Ciryl Gane,"6' 4""","81""",Orthodox,12-Apr-90,http://ufcstats.com/fighter-details/787bb1f087ccff8a,5.49,60,2.19,63,0.58,21,50,0.5,0
Serghei Spivac,"6' 3""","78""",Orthodox,24-Jan-95,http://ufcstats.com/fighter-details/e2f6b2769aaedd6c,3.54,49,3.79,49,4.56,64,70,0.5,0
Volkan Oezdemir,"6' 2""","75""",Orthodox,19-Sep-89,http://ufcstats.com/fighter-details/0845c81e37d3bcb3,4.59,47,3.92,55,0.57,33,80,0.1,0
William Gomis,"6' 0""","73""",Southpaw,13-Jun-97,http://ufcstats.com/fighter-details/e1d40e8782d80bc2,2.62,46,1.49,75,1.06,60,81,0.7,0
Yanis Ghemmouri,"5' 9""","69""",Orthodox,24-Jan-95,http://ufcstats.com/fighter-details/eb70e786bbdf1d16,2.27,38,4.22,40,0,0,0,0,0
Manolo Zecchini,"5' 8""","68""",Orthodox,22-Oct-96,http://ufcstats.com/fighter-details/fd7ab338e4953644,2.34,21,6.75,46,0,0,0,0,0
Jacqueline Cavalcanti,"5' 8""","70""",Orthodox,29-Aug-97,http://ufcstats.com/fighter-details/e3964ece586e0635,8.4,57,2.6,84,0,0,100,0,0
Zarah Fairn,"5' 8""","72""",Orthodox,10-Dec-83,http://ufcstats.com/fighter-details/862b0b3375aa4b6e,4.55,31,7.4,45,0,0,60,0,0
Chan Sung Jung,"5' 7""","72""",Orthodox,17-Mar-87,http://ufcstats.com/fighter-details/c451d67c09c55418,3.93,41,4.52,52,0.7,44,72,0.6,0
Giga Chikadze,"6' 0""","74""",Orthodox,25-Aug-88,http://ufcstats.com/fighter-details/9560ff14eb3129f7,4.08,43,3.44,62,0.23,33,69,0.2,0
Taila Santos,"5' 6""","68""",Orthodox,22-Jun-93,http://ufcstats.com/fighter-details/f7467152fd9f18a2,3.39,48,2.64,58,2,76,86,1.1,0
Parker Porter,"6' 0""","75""",Orthodox,22-Apr-85,http://ufcstats.com/fighter-details/ac40f7e3cbecdda4,6.55,50,6.32,51,1.35,26,66,0.5,0
Toshiomi Kazama,"5' 7""","69""",Orthodox,15-May-97,http://ufcstats.com/fighter-details/148bb103cfbf123e,2.22,54,3.94,45,1.51,13,66,0,0
Rolando Bedoya,"5' 11""","74""",Orthodox,13-Jan-97,http://ufcstats.com/fighter-details/40a456a25d52ee65,8.7,55,6.83,52,0,0,0,0,0
Yusaku Kinoshita,"6' 0""","71""",Southpaw,21-Aug-00,http://ufcstats.com/fighter-details/21b5c82c1b89dab1,4.65,50,5.12,51,0,0,50,0,0
SeungWoo Choi,"6' 0""","74""",Orthodox,03-Nov-92,http://ufcstats.com/fighter-details/a68575214ecad140,3.48,38,3.02,47,0.87,54,69,0,0
Da'Mon Blackshear,"5' 10""","72""",Switch,12-Aug-94,http://ufcstats.com/fighter-details/da22387a0407a2dc,4.28,47,4.09,48,2.34,37,66,0.8,0
Cub Swanson,"5' 8""","70""",Orthodox,02-Nov-83,http://ufcstats.com/fighter-details/d247691a6c0e9034,4.7,50,3.84,59,1.09,52,61,0.4,0
Hakeem Dawodu,"5' 8""","73""",Orthodox,02-Jul-91,http://ufcstats.com/fighter-details/2c9d00968f818270,5.45,50,3.37,56,0,0,65,0,0
Chris Daukaus,"6' 3""","76""",Orthodox,25-Sep-89,http://ufcstats.com/fighter-details/d0aaedcf7ccd0b45,6.05,50,4.64,55,0,0,100,0,0
Tafon Nchukwi,"6' 0""","77""",Orthodox,14-Oct-94,http://ufcstats.com/fighter-details/6aae253467e8f9ce,5.57,52,4.11,54,0.76,57,64,0,0
JP Buys,"5' 5""","67""",Orthodox,30-Apr-96,http://ufcstats.com/fighter-details/0b362247806341e5,1.88,39,3.02,40,1.55,25,25,2.3,0
Francis Marshall,"5' 9""","72""",Orthodox,03-Mar-99,http://ufcstats.com/fighter-details/5d495dec23d7c68e,3.66,33,4.07,53,3.29,50,0,0.7,0
Juliana Miller,"5' 7""","66""",Orthodox,07-May-96,http://ufcstats.com/fighter-details/aa0c573da7119292,3.31,45,4.75,32,1.84,44,0,1.8,0
Cory Sandhagen,"5' 11""","70""",Switch,20-Apr-92,http://ufcstats.com/fighter-details/65f09bacd3957381,5.33,44,3.4,58,1.36,33,64,0.3,0
Tatiana Suarez,"5' 5""","66""",Southpaw,19-Dec-90,http://ufcstats.com/fighter-details/b08012bbe542592a,4.27,63,1.38,51,6.2,61,100,0.9,0
Gavin Tucker,"5' 6""","66""",Southpaw,17-Jun-86,http://ufcstats.com/fighter-details/da816417a579a0bd,4.29,44,4.18,57,3.13,44,53,1.5,0
Tanner Boser,"6' 2""","75""",Orthodox,02-Aug-91,http://ufcstats.com/fighter-details/04c8b08b16a5b99e,4.7,52,2.75,58,0,0,63,0,0
Aleksa Camur,"6' 1""","74""",Orthodox,25-Sep-95,http://ufcstats.com/fighter-details/c2a670b22d2e196f,4.73,57,4.26,54,0.46,22,50,0,0
Jan Blachowicz,"6' 2""","78""",Orthodox,24-Feb-83,http://ufcstats.com/fighter-details/99df7d0a2a08a8a8,3.41,50,2.91,53,1.09,50,68,0.3,0
Michael Chiesa,"6' 1""","75""",Southpaw,07-Dec-87,http://ufcstats.com/fighter-details/c58f51dedb310998,1.87,40,1.7,54,3.33,50,60,1,0
Jai Herbert,"6' 1""","77""",Orthodox,13-May-88,http://ufcstats.com/fighter-details/4c88a1db5a46c6a4,2.69,41,3.15,45,0.2,10,57,0,0
Davey Grant,"5' 8""","69""",Orthodox,18-Dec-85,http://ufcstats.com/fighter-details/113df4fde64735c6,4.77,42,3.82,55,1.26,41,61,0.2,0
Jonny Parsons,"5' 9""","69""",Orthodox,06-Sep-91,http://ufcstats.com/fighter-details/2975297f505e9447,4.65,44,4.89,60,0,0,66,0,0
Danny Roberts,"6' 1""","74""",Southpaw,14-Jul-87,http://ufcstats.com/fighter-details/a6cba6bb66c1a8c9,3.18,39,3.73,50,0.24,9,57,0.2,0
Joel Alvarez,"6' 3""","77""",Orthodox,02-Mar-93,http://ufcstats.com/fighter-details/58bbef3770bb2dfc,3.65,46,3.37,50,0,0,11,1.3,0
Ketlen Vieira,"5' 8""","68""",Orthodox,26-Aug-91,http://ufcstats.com/fighter-details/b9706f80d005036c,3.04,41,3.92,51,1.51,44,92,0.6,0
Yanal Ashmouz,"5' 9""","68""",Orthodox,31-Mar-95,http://ufcstats.com/fighter-details/c739c2995a275314,3.08,42,5.35,59,0.92,50,50,0,0
Shauna Bannon,"5' 5""","65""",Switch,23-Oct-93,http://ufcstats.com/fighter-details/9c442aaf149ea982,3.6,37,3.73,37,0,0,33,0,0
Daniel Barez,"5' 6""","66""",Orthodox,10-Dec-88,http://ufcstats.com/fighter-details/e8fe9c15d348e778,3.8,53,5.32,55,4.07,31,91,1.6,0
Ottman Azaitar,"5' 8""","71""",Switch,20-Feb-90,http://ufcstats.com/fighter-details/ee18ff42063174df,5.73,51,4.96,48,0,0,100,0,0
Albert Duraev,"5' 11""","75""",Orthodox,05-Jan-89,http://ufcstats.com/fighter-details/6b7c7460855dbbb9,2.99,40,3.01,59,1.97,29,66,0.6,0
Melsik Baghdasaryan,"5' 9""","70""",Southpaw,28-Jan-92,http://ufcstats.com/fighter-details/a52bc1e62cf0b7c6,5.28,61,3.06,58,0,0,72,0,0
Tucker Lutz,"5' 8""","72""",Orthodox,12-Jul-94,http://ufcstats.com/fighter-details/7832f2f62f04178f,3.74,46,3.25,44,1.99,44,69,0.2,0
Istela Nunes,"5' 4""","66""",Orthodox,23-Jul-92,http://ufcstats.com/fighter-details/efc67b07eed39794,5.02,45,4.84,60,0,0,50,0,0
Austin Lingo,"5' 10""","70""",Orthodox,10-Jul-94,http://ufcstats.com/fighter-details/305d73ede05e31ad,3.86,37,4.86,57,0.43,66,75,0,0
Evan Elder,"5' 10""","72""",Switch,11-Apr-97,http://ufcstats.com/fighter-details/d9a56ecb6e94f02e,4.75,48,5,57,0.74,22,28,0.4,0
Genaro Valdez,"5' 9""","72""",Orthodox,16-Jan-92,http://ufcstats.com/fighter-details/cda1099995b46cc2,4.08,30,7.16,48,1.54,44,36,0.4,0
Tyson Nam,"5' 7""","68""",Orthodox,06-Oct-83,http://ufcstats.com/fighter-details/6e00cfffd54653c4,3.87,33,4.97,65,0,0,87,0,0
Alexander Munoz,"5' 9""","72""",Switch,27-Feb-90,http://ufcstats.com/fighter-details/f8f1ec513bcfef43,3.7,42,4.73,55,3,40,100,0,0
Carl Deaton,"5' 7""","69""",Orthodox,24-Nov-89,http://ufcstats.com/fighter-details/914a897455693650,1.53,31,1.85,61,0,0,50,0,0
Ashlee Evans-Smith,"5' 8""","67""",Orthodox,09-Jul-87,http://ufcstats.com/fighter-details/fc6e681bf6658faf,4.03,34,4.59,53,0.95,22,50,0,0
Dan Hooker,"6' 0""","75""",Switch,13-Feb-90,http://ufcstats.com/fighter-details/193b9d1858bc4df3,5.08,48,4.76,51,0.79,34,80,0.4,0
Robbie Lawler,"5' 11""","74""",Southpaw,20-Mar-82,http://ufcstats.com/fighter-details/f2925e6db404bf1d,3.85,47,4.67,59,0.65,64,65,0,0
Jimmy Crute,"6' 2""","74""",Orthodox,04-Mar-96,http://ufcstats.com/fighter-details/70e1f8a821b72c8b,3.68,54,3.04,44,4.84,57,60,2,0
Kamuela Kirk,"5' 10""","75""",Switch,13-Apr-94,http://ufcstats.com/fighter-details/c7d7fda69ec410d3,3.22,50,5.87,40,1.5,26,47,1.2,0
Damir Ismagulov,"5' 10""","74""",Orthodox,03-Feb-91,http://ufcstats.com/fighter-details/135d124172a0bea3,3.36,42,2.44,61,1,28,70,0,0
Kevin Lee,"5' 9""","77""",Orthodox,04-Sep-92,http://ufcstats.com/fighter-details/ee9ebceabfd16fa7,3.88,42,3.6,50,3.18,43,75,0.8,0
Yana Santos,"5' 6""","68""",Orthodox,11-Nov-89,http://ufcstats.com/fighter-details/3143bf892608139a,4.16,56,3.03,50,1.11,53,42,0.1,0
Guram Kutateladze,"5' 11""","72""",Orthodox,08-Jan-92,http://ufcstats.com/fighter-details/7772b283d288dbe2,4.62,45,4.53,56,0.69,18,75,0,0
Blagoy Ivanov,"5' 11""","73""",Southpaw,09-Oct-86,http://ufcstats.com/fighter-details/1788eee370f077b7,3.25,40,4.2,53,0.69,40,61,0.1,0
Gabriel Santos,"5' 9""","70""",Orthodox,28-Nov-96,http://ufcstats.com/fighter-details/f2f140ce7532e327,4.46,55,6.03,44,4.34,46,66,1.2,0
Zhalgas Zhumagulov,"5' 4""","66""",Switch,29-Aug-88,http://ufcstats.com/fighter-details/55fa6ce3e522c8bb,5.24,43,5.86,52,1.3,19,75,0.2,0
Marvin Vettori,"6' 0""","74""",Southpaw,20-Sep-93,http://ufcstats.com/fighter-details/7acbb0972e75281a,4.56,45,4.24,56,1.66,45,69,0.5,0
Tereza Bleda,"5' 9""","71""",Orthodox,30-Nov-01,http://ufcstats.com/fighter-details/59c438c81fbf3ece,3.02,53,1.86,46,1.81,27,83,0.7,0
Gabriella Fernandes,"5' 6""","66""",Southpaw,13-Aug-93,http://ufcstats.com/fighter-details/a6eb54ae17a551be,1.63,47,2.7,47,0,0,61,0,0
Ronnie Lawrence,"5' 8""","68""",Switch,13-Jun-92,http://ufcstats.com/fighter-details/e7e01e266a9d4342,2.78,56,1.75,52,6.75,77,45,0.2,0
Amanda Nunes,"5' 8""","69""",Orthodox,30-May-88,http://ufcstats.com/fighter-details/80fa8218c99f9c58,4.55,51,2.62,57,2.73,54,82,0.7,0
Adam Fugitt,"6' 1""","77""",Southpaw,12-Jan-89,http://ufcstats.com/fighter-details/a01a62132460a98d,4.3,54,5.13,48,3.43,33,50,0,0
David Dvorak,"5' 5""","68""",Orthodox,05-Jun-92,http://ufcstats.com/fighter-details/9ada30894bf04e19,3.48,43,3.29,59,0.58,30,70,0.2,0
Maria Oliveira,"5' 6""","69""",Orthodox,12-Dec-96,http://ufcstats.com/fighter-details/37d752ec41ed84bb,5.03,38,5.76,44,0.95,44,47,0,0
Amir Albazi,"5' 5""","68""",Orthodox,27-Oct-93,http://ufcstats.com/fighter-details/6d35bf94f7d30241,2.8,39,3.07,63,1.71,33,40,0.7,0
Kai Kara-France,"5' 4""","69""",Orthodox,26-Mar-93,http://ufcstats.com/fighter-details/853eb0dd5c0e2149,4.57,39,3.24,65,0.63,33,88,0,0
Daniel Pineda,"5' 7""","69""",Orthodox,06-Aug-85,http://ufcstats.com/fighter-details/361d49960a196976,3.09,49,3.18,46,1.71,25,48,1.7,0
Abubakar Nurmagomedov,"5' 11""","72""",Orthodox,13-Nov-89,http://ufcstats.com/fighter-details/029e1293e609fd74,2.78,53,2.61,65,1.25,22,88,0,0
Daniel Santos,"5' 7""","67""",Orthodox,12-Mar-95,http://ufcstats.com/fighter-details/b67d6bacc68d4c92,4.26,37,5.12,50,1.9,50,73,0,0
Luan Lacerda,"5' 7""","71""",Orthodox,07-Jan-93,http://ufcstats.com/fighter-details/6fc506e1099afe20,4.52,44,7.07,47,1.26,25,75,0.6,0
Maxim Grishin,"6' 3""","78""",Orthodox,02-May-84,http://ufcstats.com/fighter-details/950d0ef5c17157c5,3.26,52,2.27,58,0.21,16,66,0,0
Orion Cosce,"5' 11""","71""",Switch,15-Jul-94,http://ufcstats.com/fighter-details/2c010b26a3306969,2.77,53,4.02,44,1.92,40,61,0,0
Ilir Latifi,"5' 10""","73""",Orthodox,28-Jul-82,http://ufcstats.com/fighter-details/e9a3aeb207578eea,2.05,45,2.93,56,2.11,35,100,0.3,0
Nick Fiore,"5' 10""","72""",Orthodox,10-Dec-97,http://ufcstats.com/fighter-details/036e96c1c12b8a59,2.83,46,7.93,42,2.5,45,71,0,0
Victoria Leonardo,"5' 5""","64""",Orthodox,16-Feb-90,http://ufcstats.com/fighter-details/9dedfdd91070ddd8,3.27,39,4.7,46,1.6,27,71,0,0
Takashi Sato,"5' 10""","73""",Southpaw,09-Jun-90,http://ufcstats.com/fighter-details/8abac218746e04ca,2.21,41,3.73,44,0.76,37,60,0,0
Daniel Rodriguez,"6' 1""","74""",Southpaw,31-Dec-86,http://ufcstats.com/fighter-details/8a1f3b5c526cd6e6,7.3,50,5.28,56,0.62,50,63,0.1,0
Matt Brown,"6' 0""","75""",Orthodox,10-Jan-81,http://ufcstats.com/fighter-details/31123249b0bbf52e,3.76,55,2.92,55,1.68,46,63,1.3,0
Chase Sherman,"6' 4""","78""",Orthodox,16-Nov-89,http://ufcstats.com/fighter-details/01b352b6a9074d5c,6.04,45,6.65,52,0.09,50,74,0,0
Douglas Silva de Andrade,"5' 7""","68""",Orthodox,22-Jun-85,http://ufcstats.com/fighter-details/3a314d9fa7c6825d,3.66,38,3.99,58,0.61,46,70,0.2,0
Mandy Bohm,"5' 7""","71""",Orthodox,30-Jul-89,http://ufcstats.com/fighter-details/297a2b35444c245b,2.51,45,3.24,60,0.72,18,75,0.7,0
Ji Yeon Kim,"5' 7""","72""",Orthodox,18-Oct-89,http://ufcstats.com/fighter-details/a20f234df70f2182,5.37,36,5.41,56,0,0,50,0.1,0
Gabe Green,"5' 10""","73""",Switch,02-May-93,http://ufcstats.com/fighter-details/5eb50529a8418b77,6.28,45,6.95,47,0.83,50,53,0.3,0
Jessica-Rose Clark,"5' 5""","64""",Orthodox,28-Nov-87,http://ufcstats.com/fighter-details/6c8072b61c276e67,3.73,51,3.51,58,1.66,42,62,0.3,0
